Brand Name,Product Name,Rating,Rating Count,Selling Price,MRP,Offer
Fastrack,Stunners Quartz Analog Silver Dial Silver Metal Strap Watch for Guys - NT3291SM02,4.1 out of 5 stars,330,"₹1,435","₹1,795",(20% off)
V2A,Analogue - Digital Men's Watch (Green Dial Green Colored Strap),4.1 out of 5 stars,606,"₹1,190","₹2,999",(60% off)
Casio,Edifice Men's EF-539D-1AV,4.4 out of 5 stars,629,"₹10,995",na,na
Casio,Youth Series Analog-Digital Black Dial Men's Watch - AEQ-110W-1BVDF(AD218),4.4 out of 5 stars,676,"₹3,995",na,na
Fastrack,Casual Analog Black Dial Men's Watch-3255NM01,4.1 out of 5 stars,351,"₹1,915","₹2,395",(20% off)
TIMEWEAR,Analog Slim Two Hands Leather Strap Watches for Men,3.7 out of 5 stars,"15,066",₹379,"₹2,199",(83% off)
Fastrack,Trendies Analog Black Dial Men's Watch NM38045PP03/NN38045PP03,4.3 out of 5 stars,"2,666","₹1,915","₹2,495",(23% off)
TIMEX,Analog Black Dial Men's Watch-TW000R438,4.1 out of 5 stars,"1,488","₹2,694","₹2,995",(10% off)
Fastrack,"Fastrack Limitless Glide X 1.83"" Smart Watch with Ultra UV HD Display, SpO2, Heart Rate & Sleep Tracking, Bluetooth Calling, 100+ Sports Modes, 5-Day Battery, Smartwatch for Men & Women (Black)",3.8 out of 5 stars,"4,328","₹1,498","₹2,799",(46% off)
Fastrack,Casual Analog Silver Dial Men's Watch-3254SM01,4.0 out of 5 stars,266,"₹1,495","₹2,095",(29% off)
Titan,Neo Analog Blue Dial Men's Watch NM1734KM02/NN1734KM02/NP1734KM02,4.3 out of 5 stars,547,"₹6,340","₹8,495",(25% off)
Titan,Karishma Green Dial Analog Leather Strap Watch for Men-NS1823WL02/NT1823WL02,4.2 out of 5 stars,52,"₹2,803","₹3,245",(14% off)
Armani Exchange,Armani Exchange Analog Black Dial Men's Watch-AX1343,4.2 out of 5 stars,611,"₹5,997","₹9,995",(40% off)
Fastrack,Tick Tock Quartz Multifunction Grey Dial Rose Gold Metal Strap Watch for Guys - NT3287QM01,4.1 out of 5 stars,95,"₹3,670","₹4,895",(25% off)
Titan,Rose Gold Dial Analog with Date Leather Strap Watch for Men-NS1825WL02/NT1825WL02,4.5 out of 5 stars,53,"₹2,683","₹3,355",(20% off)
Fastrack,Fastrack Analog Digital Black Dial Black Colour Plastic Strap Unisex Watch - NT38076PP01W,4.4 out of 5 stars,256,"₹1,835","₹2,295",(20% off)
Noise,"Noise Pulse 2 Max 1.85"" Display, Bluetooth Calling Smart Watch, 10 Days Battery, 550 NITS Brightness, Smart DND, 100 Sports Modes, Smartwatch for Men and Women (Jet Black)",4.0 out of 5 stars,"17,624","₹1,399","₹5,999",(77% off)
Titan,Neo Analog Blue Dial Men's Watch-NM1770SM03 / NL1770SM03,4.4 out of 5 stars,247,"₹2,899","₹3,345",(13% off)
Casio,Unisex Vintage A168XES-1BDF Black Digital Dial Transparent Resin Strap D306,4.0 out of 5 stars,82,"₹2,695",na,na
Fastrack,Analog Black Dial Men's Watch NM3147KM01/NN3147KM01,4.3 out of 5 stars,"2,285","₹3,755","₹4,695",(20% off)
Boult,"Boult Mirage Smart Watch 1.39''HD Screen, Bluetooth Calling, IP67, Zinc Alloy Frame, 500 Nits Brightness, AI Voice Assistant, SpO2 Monitoring, 120+ Sports Mode (Amber Blue)",4.1 out of 5 stars,468,"₹1,799","₹4,999",(64% off)
Kuber Industries,Kuber Industries Premium Faux Leather See Through 6 Slots Wrist Watch Organiser Box for Men & Women | Valentine Gift Watch Storage Box Organizer | Watch Collection Box/Case/Holder | Black,4.3 out of 5 stars,357,₹789,"₹2,699",(71% off)
Casio,Youth Series Digital Black Dial Men AE-1500WH-1AVDF (D218),4.5 out of 5 stars,537,"₹2,495",na,na
Fastrack,Casual Analog White Dial Men's Watch NM3114PP01/NN3114PP01/NP3114PP01,4.0 out of 5 stars,"5,737","₹1,046","₹1,195",(12% off)
Matrix,Minimalist Dial with Softest Silicone Strap Analog Wrist Watch for Men & Boys,3.9 out of 5 stars,428,₹274,"₹1,999",(86% off)
Titan,"Men's Infinity Chrono Analog Watch: Precise Blue Dial, Rose Gold Highlights, Durable Leather Strap-NS1805QP01/NT1805QP01",4.3 out of 5 stars,105,"₹5,475","₹6,845",(20% off)
SKMEI,Stainless Steel Men Analog Watch Dual-Display Electronic Watch with Luminous 30M Waterproof Watch Fashion Multifunctional Sports Watch for Men- 1816,3.9 out of 5 stars,895,"₹2,199","₹3,850",(43% off)
Giordano,Designer Multifunction Watch for Men with Square Dial and Leather Band – Elegant Casual & Formal Style,4.0 out of 5 stars,54,"₹4,994","₹7,950",(37% off)
Fastrack,Fundamentals Analog Blue Dial Men's Watch NM38051SM03/NN38051SM03,4.1 out of 5 stars,"1,817","₹1,780","₹2,095",(15% off)
